Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_Bruto;Tipo Agregado
Apartamento;Maracanã;3;2;3;158;2400.0;1265.0;;3665.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0;3548.0;Apartamento
Apartamento;Laranjeiras;5;2;1;400;9000.0;3000.0;;12000.0;Apartamento
Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0;3003.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0;2450.0;Apartamento
Apartamento;Tijuca;3;0;0;75;1800.0;350.0;;2150.0;Apartamento
Apartamento;Ipanema;3;1;1;126;5500.0;1400.0;2000.0;6900.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800.0;;5000.0;Apartamento
Apartamento;Tijuca;2;1;1;71;1500.0;600.0;;2100.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0;3100.0;Apartamento
Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0;4770.0;Apartamento
Apartamento;Laranjeiras;4;1;2;288;7000.0;1870.0;582.0;8870.0;Apartamento
Apartamento;Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;;2588.0;Apartamento
Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;5300.0;Apartamento
Apartamento;Cidade Nova;1;0;0;46;1000.0;;;;Apartamento
Apartamento;Pilares;3;0;0;65;1200.0;350.0;16.0;1550.0;Apartamento
Apartamento;Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0;8386.0;Apartamento
Apartamento;Laranjeiras;3;1;1;90;2400.0;1311.0;;3711.0;Apartamento
Apartamento;Tijuca;2;0;0;50;1800.0;347.0;25.0;2147.0;Apartamento
Apartamento;Olaria;1;0;0;39;800.0;;;;Apartamento
Apartamento;Ipanema;3;1;1;140;6500.0;1800.0;506.0;8300.0;Apartamento
Apartamento;Campo Grande;2;0;0;60;800.0;380.0;;1180.0;Apartamento
Apartamento;Centro;1;0;0;35;1350.0;420.0;24.0;1770.0;Apartamento
Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0;1840.0;Apartamento
Apartamento;Copacabana;3;1;0;112;3800.0;1123.0;286.0;4923.0;Apartamento
